Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
Lag (2018:2088) om tobak och liknande produkter;Tobakslagen; 311 ; 43 ; 16 ; 3 
Lag om tobaksfria nikotinprodukter;Lag om tobaksfria nikotinprodukter; 76 ; 26 ; 52 ; 1 
Lag om förbud mot vissa hälsofarliga varor (3 § 1 st. och 4 §);Lag om förbud mot vissa hälsofarliga varor; 112 ; 28 ; 33 ; 1 
Lag om brandfarliga och explosiva varor (6 §, 16 § 1 st, 28 § 1 st, 29 § 2 st, 29a §);Lag om brandfarliga och explosiva varor; 752 ; 153 ; 26 ; 7 
Läkemedelslag (2015:315) 16 kap. 1 §;Läkemedelslag; 179 ; 93 ; 108 ; 2 
Lag (2009:366) om handel med läkemedel (9 kap. 1, 1 a §);Lag om handel med läkemedel ; 783 ; 751 ;2 347 ; 7 
Lag (2009:730) om handel med vissa receptfria läkemedel 24 §;Lag om handel med vissa receptfria läkemedel; 4 ;- ;- ; 0 
Vapenlag (1996:67) 9 kap. 1-3 §;Vapenlagen, totalt;9 623 ; 238 ; 3 ; 91 
Vapenlag (1996:67) 1, 1 a § Vapenbrott inkl. grovt, synnerligen grovt;"Vapenbrott; innehav, totalt";7 817 ; 75 ; 1 ; 74 
Vapenlag (1996:67) 1, 1 a § Vapenbrott inkl. grovt, synnerligen grovt;Innehav av pistol, revolver eller start-, signal- och tårgasvapen;4 146 ; 98 ; 2 ; 39 
Vapenlag (1996:67) 1 § Vapenbrott, ej grovt brott;Innehav av pistol, revolver eller start-, signal- och tårgasvapen;1 444 ; 18 ; 1 ; 14 
Vapenlag (1996:67) 1 a § Grovt vapenbrott, synnerligen grovt vapenbrott;Innehav av pistol, revolver eller start-, signal- och tårgasvapen;2 702 ; 80 ; 3 ; 26 
Vapenlag (1996:67) 1, 1 a § Vapenbrott inkl. grovt, synnerligen grovt;Innehav av automatvapen (inkl. kulsprutepistol) ; 396 ;- 44 ;- 10 ; 4 
Vapenlag (1996:67) 1 § Vapenbrott, ej grovt brott;Innehav av automatvapen (inkl. kulsprutepistol) ; 54 ; 5 ; 10 ; 1 
Vapenlag (1996:67) 1 a § Grovt vapenbrott, synnerligen grovt vapenbrott;Innehav av automatvapen (inkl. kulsprutepistol) ; 342 ;- 49 ;- 13 ; 3 
Vapenlag (1996:67) 1, 1 a § Vapenbrott inkl. grovt, synnerligen grovt;Innehav av jaktvapen, totalt; 887 ; 21 ; 2 ; 8 
Vapenlag (1996:67) 1 § Vapenbrott, ej grovt brott;Innehav av jaktvapen; 753 ; 45 ; 6 ; 7 
Vapenlag (1996:67) 1 a § Grovt vapenbrott, synnerligen grovt vapenbrott;Innehav av jaktvapen; 134 ;- 24 ;- 15 ; 1 
Vapenlag (1996:67) 1, 1 a § Vapenbrott inkl. grovt, synnerligen grovt;Innehav av annat vapen, totalt;2 388 ;- ;- ; 23 
Vapenlag (1996:67) 1 § Vapenbrott, ej grovt brott;Innehav av annat vapen;1 783 ;- 79 ;- 4 ; 17 
Vapenlag (1996:67) 1 a § Grovt vapenbrott, synnerligen grovt vapenbrott;Innehav av annat vapen; 605 ; 79 ; 15 ; 6 
Vapenlag (1996:67) 1, 1 a § Vapenbrott inkl. grovt, synnerligen grovt;"Vapenbrott; överlåtelse, utlåning av skjutvapen, totalt"; 102 ;- 16 ;- 14 ; 1 
Vapenlag (1996:67) 1 § Vapenbrott, ej grovt brott;"Vapenbrott; överlåtelse, utlåning av skjutvapen"; 71 ;- 13 ;- 15 ; 1 
Vapenlag (1996:67) 1 a § Grovt vapenbrott, synnerligen grovt vapenbrott;"Vapenbrott; överlåtelse, utlåning av skjutvapen"; 31 ;- 3 ;- 9 ; 0 
Vapenlag (1996:67) 1 b, 2 § Annat brott;Annat brott mot Vapenlagen;1 704 ; 179 ; 12 ; 16 
Lag (1988:254)  1, 2, 4 § om förbud beträffande knivar och andra farliga föremål;Lagen om förbud betr. knivar m.m. ;8 840 ;-1 518 ;- 15 ; 84 
Jaktlag (1987:259) 43, 44, 46 §;Jaktlagen, totalt; 374 ;- 37 ;- 9 ; 4 
Jaktlag (1987:259) 43, 44, 46 §;Illegal rovdjursjakt (varg, björn, järv, lodjur och kungsörn); 35 ;- 5 ;- 13 ; 0 
Jaktlag (1987:259) 43, 44, 46 §;Övriga brott mot jaktlagen; 339 ;- 32 ;- 9 ; 3 
Fiskelag (1993:787) 37-38, 39 a-40 a §;Fiskelagen; 399 ; 8 ; 2 ; 4 
Lag (1980:424) om åtgärder mot förorening från fartyg;Lagen om åtgärder mot förorening från fartyg; 132 ;- 33 ;- 20 ; 1 
Arbetsmiljölag (1977:1160) 8 kap. 1,  2 §;Arbetsmiljölagen ; 98 ;- 20 ;- 17 ; 1 
Utlänningslag (2005:716),  20 kap.;Utlänningslagen, totalt;1 484 ; 86 ; 6 ; 14 
UtlL 20 kap. 2 § Uppsåtligen uppehåller sig i Sverige trots beslut om utvisning ;Uppsåtligen uppehåller sig i Sverige trots beslut om utvisning ; 75 ; 12 ; 19 ; 1 
UtlL 20 kap. 5 § Har utlänning anställd som inte har rätt att vistas i Sverige, eller saknar arbetstillstånd ;Har utlänning anställd som inte har rätt att vistas i Sverige, eller saknar arbetstillstånd;1 106 ; 106 ; 11 ; 10 
UtlL 20 kap. 7 § Hjälp till utlänning att olovligen uppehålla sig i Sverige, annan EU-stat eller Schengenområdet;Hjälp till utlänning att olovligen uppehålla sig i Sverige, annan EU-stat eller Schengenområdet; 3 ;- 5 ;- 63 ; 0 
UtlL 20 kap. 8 § Människosmuggling;Människosmuggling; 93 ;- 14 ;- 13 ; 1 
UtlL 20 kap. 9 § Organiserande av människosmuggling;Organiserande av människosmuggling; 8 ; 1 ; 14 ; 0 
UtlL 20 kap. 4-7 § Övriga brott;Övriga brott mot utlänningslagen; 199 ;- 14 ;- 7 ; 2 
Lag (1988:688) om kontaktförbud;Lagen om kontaktförbud, totalt;3 757 ; 511 ; 16 ; 36 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Med elektronisk övervakning; 49 ; 46 ;1 533 ; 0 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Utan elektronisk övervakning;3 476 ; 273 ; 9 ; 33 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Mot barn under 18 år, totalt; 91 ;- 1 ;- 1 ; 1 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Mot flicka under 18 år; 62 ; 7 ; 13 ; 1 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Mot pojke under 18 år; 29 ;- 8 ;- 22 ; 0 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Mot kvinna 18 år eller äldre, totalt;2 879 ; 277 ; 11 ; 27 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Närstående genom parrelation;2 227 ; 397 ; 22 ; 21 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Närstående genom släktskap/familj; 141 ;- 104 ;- 42 ; 1 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Annan sorts relation eller bekantskap; 406 ;- 17 ;- 4 ; 4 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Obekanta; 105 ; 1 ; 1 ; 1 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Mot man 18 år eller äldre, totalt; 506 ;- 3 ;- 1 ; 5 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Närstående genom parrelation; 163 ; 29 ; 22 ; 2 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Närstående genom släktskap/familj; 75 ;- 128 ;- 63 ; 1 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Annan sorts relation eller bekantskap; 193 ; 61 ; 46 ; 2 
Lag (1988:688) 24 § Överträdelse av kontaktförbud;Obekanta; 75 ; 35 ; 88 ; 1 
Lag (1988:688) 25 § Hindrande av elektronisk övervakning ;Hindrande av elektronisk övervakning; 232 ; 192 ; 480 ; 2 
Lag (2005:321) om tillträdesförbud vid idrottsarrangemang;Lagen om tillträdesförbud vid idrottsarrangemang; 10 ;- ;- ; 0 
Kulturmiljölag (1988:950) 2 kap. 21, 21 a §;Kulturmiljölagen; 58 ;- 32 ;- 36 ; 1 
Spellag (2018:1138) ;Spellagen, totalt; 31 ; 3 ; 11 ; 0 
Spellag (2018:1138), 19 kap. 1, 3 §, inkl. grovt;Olovlig spelverksamhet; 26 ; 12 ; 86 ; 0 
Spellag (2018:1138), 19 kap. 2, 3 §, inkl. grovt;Främjande av olovligt spel; 3 ;- 1 ;- 25 ; 0 
Spellag (2018:1138), 19 kap. 4,5 §, inkl. grovt;Spelfusk; 2 ;- 8 ;- 80 ; 0 
Lag (1991:1969) om förbud mot vissa dopningsmedel;Lagen om förbud mot vissa dopningmedel;2 470 ; 221 ; 10 ; 23 
Lag (1991:1969) om förbud mot vissa dopningsmedel, 2 § 4, 5 p., 3, 3 a §, inkl. grovt;Överlåtelse; 535 ; 94 ; 21 ; 5 
Lag (1991:1969) om förbud mot vissa dopningsmedel,  2 § 6 p., 3, 3 a §, inkl. grovt;Innehav;1 408 ; 108 ; 8 ; 13 
Lag (1991:1969) om förbud mot vissa dopningsmedel, 2 § 7 p., 3, 3 a §, inkl. grovt;Eget bruk; 518 ; 16 ; 3 ; 5 
Lag (1991:1969) om förbud mot vissa dopningsmedel, 2 § 3 p., 3, 3 a §, inkl. grovt;Framställning; 9 ; 3 ; 50 ; 0 
Folkbokföringslag (1991:481) 42 §;Folkbokföringslagen;7 217 ;2 168 ; 43 ; 68 
Övriga trafikbrott (ej TBL) med fängelse i straffskalan;Övriga trafikbrott (ej TBL) med fängelse i straffskalan; 170 ; 15 ; 10 ; 2 
Sjölag (1994:1009) 20 kap.;Sjölagen, totalt; 319 ; 21 ; 7 ; 3 
Lag (1994:1009) 20 kap. 4, 5 § Sjöfylleri ;Sjöfylleri; 181 ; 4 ; 2 ; 2 
Lag (1994:1009) 20 kap. 1, 2, 6-9 § Övriga brott;Övriga brott mot sjölagen ; 138 ; 17 ; 14 ; 1 
Lag (2014:406) om straff för folkmord, brott mot mänskligheten och krigsförbrytelser;Lagen om straff för folkmord, brott mot mänskligheten och krigsförbrytelser, totalt; 62 ;- 13 ;- 17 ; 1 
Lag (2014:406) om straff för folkmord, brott mot mänskligheten och krigsförbrytelser, 1 §;Folkmord; 14 ; 1 ; 8 ; 0 
Lag (2014:406) om straff för folkmord, brott mot mänskligheten och krigsförbrytelser,  2 §;Brott mot mänskligheten; 23 ; 6 ; 35 ; 0 
Lag (2014:406) om straff för folkmord, brott mot mänskligheten och krigsförbrytelser,  4-11 §;Krigsförbrytelse; 18 ;- 14 ;- 44 ; 0 
Lag (2014:406) om straff för folkmord, brott mot mänskligheten och krigsförbrytelser, 14-15 §;Övriga brott; 7 ;- 6 ;- 46 ; 0 
Lag (1982:316) med förbud mot könsstympning av kvinnor;Lagen med förbud mot könsstympning av kvinnor; 26 ;- 35 ;- 57 ; 0 
Terroristbrottslag (2022:666);Terroristbrottslag, totalt; 23 ;- 8 ;- 26 ; 0 
Skyddslag (2010:305) 30-31 §;Skyddslag, totalt; 864 ; 282 ; 48 ; 8 
Lag (1996:95) om vissa internationella sanktioner, 8, 15 §;Lag om vissa internationella sanktioner ; 12 ; 11 ;1 100 ; 0 
Ordningslagen (1993:1617) 2 kap. 29 §, 5 kap. 3-5 §§;Ordningslagen;3 282 ;1 355 ; 70 ; 31 
Lag (1960:729) om upphovsrätt till litterära och konstnärliga verk, lag(2000:171) om förbud beträffande viss avkodningsutrustning ;Brott mot upphovsrätten; 97 ; 8 ; 9 ; 1 
Lag (1992:1685) om skydd för kretsmönster för halvledarprodukter, lag (2018:1653) om företagsnamn, patentlagen (1967:837), mönsterskyddslagen (1970:485), växtförädlarrättslagen (1997:306), varumärkeslagen (2010:1877);Brott mot det industriella rättsskyddet; 147 ; 34 ; 30 ; 1 
Övriga författningar;Övriga författningar;2 429 ; 297 ; 14 ; 23 
