Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
4 kap. 5 § BrB Olaga hot;Mot flicka under 18 år, internetrelaterat;1 094 ; 167 ; 18 ; 10 
4 kap. 5 § BrB Olaga hot;Mot flicka under 18 år, ej internetrelaterat;2 473 ; 54 ; 2 ; 23 
4 kap. 5 § BrB Olaga hot;Mot pojke under 18 år;4 674 ; 64 ; 1 ; 44 
4 kap. 5 § BrB Olaga hot;Mot pojke under 18 år, internetrelaterat; 934 ; 123 ; 15 ; 9 
4 kap. 5 § BrB Olaga hot;Mot pojke under 18 år, ej internetrelaterat;3 740 ;- 59 ;- 2 ; 35 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre;20 051 ; 538 ; 3 ; 190 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre närstående genom parrelation;7 547 ; 277 ; 4 ; 72 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre närstående genom parrelation, internetrelaterat; 972 ; 169 ; 21 ; 9 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre närstående genom parrelation, ej internetrelaterat;6 575 ; 108 ; 2 ; 62 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre närstående genom släktskap/familj;2 112 ; 26 ; 1 ; 20 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre närstående genom släktskap/familj, internetrelaterat; 294 ; 55 ; 23 ; 3 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre närstående genom släktskap/familj, ej internetrelaterat;1 818 ;- 29 ;- 2 ; 17 
